Date	$gvkey	$sector	$ticker	PRCCM - Price - Close - Monthly - USD	OPTVOL - Volatility - Assumption (%) - INDL - NA - USD	OPTPRCGR - Options Granted - Price - INDL - NA - USD	OPTOSEY - Options Outstanding - End of Year - INDL - NA - USD	OPTLIFE - Life of Options - Assumption (# yrs) - INDL - NA - USD	OPTPRCEY - Options Outstanding End of Year - Price - INDL - NA - USD	OPTEX - Options Exercisable (000) - INDL - NA - USD	OPTPRCWA - Options Exercisable - Weighted Avg Price - INDL - NA - USD	OPTRFR - Risk Free Rate - Assumption (%) - INDL - NA - USD
12/31/2022	1078	Health Care	ABT	109.79	23.8	123.7	27.2	6.0	65.16	20.387	53.49	0.8
12/31/2022	1161	Information Technology	AMD	64.77	51.77	107.58	5.0	4.55	23.98	4.0	13.24	0.69
12/31/2022	1300	Industrials	HON	214.3	24.69	204.99	15.853	4.54	135.31	10.665	113.3	0.48
12/31/2022	1327	Information Technology	SWKS	91.13	39.65	143.87	0.2	4.0	74.68	0.2	74.12	0.13
12/31/2022	1380	Energy	HES	141.82	47.0	75.04	2.087	6.0	61.15	1.17	62.27	0.95
12/31/2022	1447	Financials	AXP	147.75	31.0	117.52	3.104	7.2	93.33	1.976	79.42	0.8
12/31/2022	1449	Financials	AFL	71.94	24.4	35.75	2.145	6.0	31.02	2.145	31.02	2.0
12/31/2022	1487	Financials	AIG	63.24	36.68	44.23	13.021	6.43	47.12	4.048	52.88	0.95
12/31/2022	1598	Industrials	AME	139.72	24.2	121.91	3.352	5.0	76.08	2.06	67.15	0.85
12/31/2022	1602	Health Care	AMGN	262.64	25.6	237.17	5.1	5.7	197.27	2.0	165.46	1.0
12/31/2022	1632	Information Technology	ADI	164.03	35.3	145.04	3.194	5.0	89.13	2.351	73.93	0.8
12/31/2022	1773	Information Technology	ARW	104.57	24.0	79.22	0.827	5.6	76.66	0.391	72.0	1.4
12/31/2022	1891	Information Technology	ADP	238.86	22.7	207.0	3.474	4.9	152.0	1.553	128.0	0.0
12/31/2022	1988	Materials	BALL	51.14	25.08	85.52	9.766	6.25	46.66	6.501	36.04	0.61
12/31/2022	2086	Health Care	BAX	50.97	24.0	77.32	20.696	5.5	61.14	13.821	53.46	0.8
12/31/2022	2111	Health Care	BDX	254.3	22.0	245.09	5.544	7.3	197.31	3.877	180.47	1.41
12/31/2022	2184	Consumer Discretionary	BBY	80.21	56.0	51.65	0.835	6.3	57.39	0.295	43.83	0.5
12/31/2022	2220	Health Care	BIO	420.49	27.0	814.95	0.25	7.3	246.41	0.186	161.41	1.05
12/31/2022	2285	Industrials	BA	190.49	37.8	250.8	1.709	6.6	121.83	1.263	76.53	1.3
12/31/2022	2435	Consumer Staples	BF.B	65.68	24.1	62.39	4.232	7.0	47.54	2.829	39.55	1.0
12/31/2022	2547	Health Care	CI	331.34	30.0	213.81	8.49	4.5	169.47	5.612	152.92	0.5
12/31/2022	2574	Industrials	CSX	30.98	31.2	29.69	12.512	6.0	22.42	6.347	18.16	0.7
12/31/2022	2710	Consumer Staples	STZ	231.75	27.8	237.85	2.906	6.3	178.62	1.411	161.53	1.2
12/31/2022	2771	Industrials	CSL	235.65	28.7	152.37	1.27	4.9	129.32	0.652	113.9	0.4
12/31/2022	2817	Industrials	CAT	239.56	32.9	219.76	7.722	8.0	127.52	4.914	106.36	0.735
12/31/2022	2991	Energy	CVX	179.49	31.1	88.2	77.399	6.8	108.1	66.499	109.8	0.71
12/31/2022	3026	Consumer Staples	CHD	80.61	20.7	84.71	11.3	7.2	58.83	6.7	44.8	1.3
12/31/2022	3062	Industrials	CTAS	451.62	25.2	398.92	5.087	5.5	230.62	1.576	117.25	0.8
12/31/2022	3121	Consumer Staples	CLX	140.33	21.8	163.0	4.198	5.4	144.0	2.861	131.0	0.9
12/31/2022	3144	Consumer Staples	KO	63.61	18.0	50.59	75.0	6.0	42.43	59.0	40.08	0.9
12/31/2022	3170	Consumer Staples	CL	78.79	20.3	77.0	26.095	6.0	72.0	16.725	72.0	1.0
12/31/2022	3226	Communication Services	CMCSA	34.97	22.8	54.22	211.0	5.9	40.38			0.9
12/31/2022	3504	Health Care	COO	330.67	25.8	403.44	1.064	4.1	264.85	0.625	223.45	1.1
12/31/2022	3505	Consumer Staples	TAP	51.52	33.74	44.97	1.9	5.6	63.15	1.2	70.61	0.79
12/31/2022	3532	Information Technology	GLW	31.94	32.9	19.65	11.904	7.4	22.31	6.573	21.19	0.5
12/31/2022	3650	Industrials	CMI	242.29	28.68	232.44	2.743	6.0	143.51	1.63	136.74	1.15
12/31/2022	3735	Health Care	DHR	265.42	29.8	240.75	15.6	6.25	127.13	7.0	85.81	1.05
12/31/2022	3835	Industrials	DE	428.76	32.0	343.94	2.0	5.1	153.11	1.6	119.16	1.27
12/31/2022	3980	Communication Services	DIS	86.88	28.0	146.15	18.0		121.28	13.0	111.01	1.6
